,Unnamed: 0,Newspaper,Date,Reviewer,Title,Theatre,Review
0,0,Ought To Be Clowns,09/08/2019,Ian,Evita, Open Air Theatre,"If this was the production of Evita that was forever touring the UK, then we could all be a hell of a lot more enthused about the future of UK theatre. Bill Kenwright might have the business side locked down with dull predictability but at the Open Air Theatre, Jamie Lloyd is unleashing a torrent of creative genius which proves inordinately exciting to witness. He offers up a complete reimagining of the Andrew Lloyd Webber and Tim Rice musical and one which feels sparkingly fresh in every single aspect. The open bleachers of Soutra Gilmore’s design which turns our focus to the human relationships here, the striking physicality of Fabian Aloise’s choreography with its haunting screaming faces and way-cool domino effect points to societal trauma and most crucially, Lloyd allows the shadow of populist politics to loom large. So Samantha Pauly’s thoroughly contemporary Eva is unafraid to let the rougher edges of her youthful confidence show – the way ‘Don’t Cry For Me Argentina’ is undercut is a masterclass in insincerity akin to Donald Trump’s autocue reading. And when she meets her partner in ruthless ambition – a superb Ektor Rivera as Juan Perón – there’s a chilling effectiveness to their work. ‘A New Argentina’ becomes a full-on political rally, a riot of albiceleste tickertape and smoke cannons."
1,1,Ought To Be Clowns,14/02/2012,Ian,Miss Julie, Faction at New Diorama,"Miss Julie is the third iteration of the Faction rep season at the New Diorama, though there’s been a bit of a gap for me between seeing this and the brilliant first two –Twelfth Night and Mary Stuart. And I’m not sure if it was the gap, my feelings that night or perhaps the company stretching themselves just a little bit too far, but I did not take to Strindberg’s play half as much as I did the others. Part of it came from the feeling that this was more of an afterthought than an integral part of the rep season – it seems an odd choice for the company to choose with an ensemble at work as the play is a three-hander at heart. Miss Julie is a Count’s daughter but rather than attend the formal ball being put on by her father, she opts to go to the party being held by the servants where she embarks on a dangerous flirtation with footman Jean. And with it being a three-hander, the rest of the ensemble play the various revellers who are mainly engaged in the making of sound effects to accompany the mimed actions of the actors. So much of Faction’s work has been clever and innovative and there’s no doubting that these are endlessly inventive in their scope and creation. But it is hard to shake the feeling that it’s not really fully integrated into the action, indeed it is often quite a distraction from the action onstage. Having seen the company working twice before, I was most keen to see Leonie Hill take on a lead role as she was twice scene-stealingly excellent, but something was a little amiss as Miss Julie. There’s no real sense of her distinctness from the serving classes or the kind of range that she suggested she was more than capable of. Chemistry with Cary Crankson’s Jean was somehow lacking too, no hidden depth s emerging from his performance to suggest why he has such a pull, and Kate Sawyer’s Kristen, the cook who also has a connection to Jean, likewise failed to live up to her earlier work."
2,2,Ought To Be Clowns,21/08/2014,Ian,Thérèse Raquin, Park Theatre,"A well-deserved transfer for this hit Finborough musical although coming a few months after that original run, the production has had to be recast a bit along with being reconceived for the larger space of the Park Theatre. On a personal note, whilst I loved being able to listen to the pleasingly textured score once again, it was also interesting to come back to the show with a much greater knowledge of the story, having recently seen both a play and a film of Thérèse Raquin, thus enabling me to compare and contrast adaptations. This version hedges its bets from the beginning by describing itself as a “radical adaptation” by Nona Shepphard but what is interesting is that Shepphard is the only one who tries to replicate something of Thérèse’s interior life, which is so richly portrayed in the novel, by using a chorus of three river women. It works both dramatically and musically, creating additional layers to the vocals and these hints of Greek tragedy with its chorus passing commentary is used effectively elsewhere, most notably in reporting the news of Camille’s tragic ‘accident’. The musical complexity of Craig Adams’ score also works well here, eschewing anything that might be considered a breakout pop hit for the rhythmic repetition of domino numbers (which recalls London Road as much as anything) and James Simpson’s band of keys and strings sound as lush as ever, filling the theatre with glorious sound as the walls close in on Julie Atherton’s Thérèse and Greg Barnett’s Laurent following their surrender to base desires and some serious cat abuse."
3,3,Ought To Be Clowns,23/03/2011,Ian,Anna Karenina, Arcola,"This production of Anna Karenina at the Arcola Theatre is a revival of one from 1992 by Shared Experience, presented here by The Piano Removal Company, a new company formed out of a recently graduating group from the Birmingham School of Acting, whose final show there was this. Helen Edmundson’s adaptation of Leo Tolstoy’s novel reworks the story into a conversation between the two central characters of Anna and Levin as they debate freedom versus duty whilst their stories are told in rapidly-played episodes, hers of pursuing an illicit love at the expense of her son and her position in society and his of trying to find meaning in life, even if it means losing the chance to love. Director Max Webster wears his previous connections to Complicite on his sleeve and the resulting visual aesthetic therefore feels quite familiar: the swift scene changes and multiple role-playing, the exaggerated physicality of much of the movement and moments of striking imagery through simply used props. It works well, creating some elegant scenes of candlelit beauty, spotlit conversations and paper snowfalls as well as working in a wry sense of humour with Vronsky’s omnipresence. But there is just so much of this physical staging with its relentless changes which doesn’t always add value to the production and pad out the running time unnecessarily. This energy in the storytelling fits in with the attempt to create a timeless feel rather than a strictly observed period drama, something the sound and live music also worked at with varying results. Melodic passages of guitar strumming and piano runs were fine, but a rendition of Bob Dylan’s ‘Don’t Think Twice It’s Alright’ jarred where the acapella singing of a Russian peasant folk song with a whirling foot-stamping dance proved much more stirring and perhaps evidence of some overthinking. And Edmundson’s adaptation could withstand some pruning, it takes a long time to get not very far in the second half."
4,4,Ought To Be Clowns,10/04/2015,mag9l,Shooting With Light, New Diorama,"There’s much to enjoy about Idle Motion’s Shooting with Light, currently selling out night after night at the New Diorama ahead of a UK tour, not least in their exploration of the life and work of photojournalist Gerda Taro. A devised work, it blends its text with striking use of movement, multimedia projections and innovative design, to create an impassioned, time-jumping romance slash mystery that has some truly beguiling moments. Fleeing the rising anti-Semitism of the 1930s, German Gerta Pohorylle and Hungarian Andre Friedmann met in a Parisian café and quickly bonding over a mutual love for each other and photography, reinvented themselves as the First Couple of photojournalism – Gerda Taro and Robert Capa. Initially just acting his agent, Taro’s own love for the lens saw her develop her own path, becoming the first female photojournalist to cover a war from the front line. And to die whilst doing so. Idle Motion leave us in no doubt as to the depth of feeling Taro had both for her partner and for her work. Arresting sequences see her connect gorgeously with her lover under the red light of the darkroom or the twinkling night sky, and her determination to capture images of a burned out village in the Spanish Civil War is hauntingly effective. When the movement has a definitive purpose as it does here, it elevates the production exquisitely and Sophie Cullen and Tom Radford really shine."
5,5,Ought To Be Clowns,24/10/2013,Ian,Blood Wedding, Courtyard Theatre,"Lorca’s writing is suffused with the heat and passion of his Spanish homeland and his 1932 play Blood Wedding is one of his most famous and oft-performed works. Aria Entertainment’s production uses Tanya Ronder’s recent translation but director Bronagh Lagan often struggles to combine the lyrical poetry and brutal realities of this play, introducing a too-wide range of elements that crowd the essential simplicity of the story. The show is at its best when it allows simple but striking images to emerge – Miles Yekinni’s Death – a presence haunting the action from the off – appearing unexpectedly from behind a door; the true desire of the Bride breaking free in the middle of a densely choreographed wedding dance; the erect pride with which the Mother conducts herself at all times. And in these moments , this tragic tale of love and betrayal captures the right level of magic realism.   Elsewhere, the stage feels cluttered by devices and technique which muddy the narrative rather than elucidating it. Lewis Greenslade’s compositions are atmospheric but lack specificity; the choreography a little too precise to convince; and even Francisco Rodriguez-Weil’s well-intentioned and evocative set with its multiple doors lacks something in its execution – the idea of the claustrophobia of village life marred by its inherent inflexibility.  Performances are mostly strong though, able to invest the colloquialisms of Ronder’s adaptation with greater feeling than they perhaps deserve. Matt Wilman’s powerfully masculine Leonardo a visceral presence, Lynsey Beauchamp’s Mother a fierce example of vengeful Andalusian spirit and Nicola Duffett a wonderfully gossipy neighbour, making a single word “well…” speak volumes. Unexpectedly, the star turn comes from Cassidy Janson’s Servant, a gorgeously natural stage presence. "
6,6,Ought To Be Clowns,02/05/2018,Ian,Chess, London Coliseum,"It’s taken over 30 years for Chess to return to the West End (though it was seen at the Union in 2013) and though it has a huge amount of resource thrown at it in Laurence Connor’s production for English National Opera, it doesn’t necessarily feel worth the wait. An 80’s mega-musical through and through with an intermittently cracking score from ABBA’s Benny Andersson and Björn Ulvaeus, Richard Nelson’s book hasn’t aged particularly well and bears the hallmarks of the  substantial tinkering it has had at every opportunity. It’s not too hard to see why it has needed the tinkering. The mix of Cold War politics told through the prism of rival US and Soviet chess Grandmasters, love triangles and power ballads is a tricky one to get right and part of the problem seems to be just how seriously to take it all. On the one hand, the chess matches are backgrounded with montages of the real-life tensions of the 80s; on the other, scenes that take us through the various locations of the tournaments are a cringeworthy riot of cultural stereotyping that revel in their utter kitsch.  The result is an unbalanced production which doesn’t quite convince. A deliberately naff 80s design aesthetic comes up hard against state-of-the-art live video and projection work on two giant screens either side of the stage. Anders Eljas’ arrangements, fleshed out by the ENO’s hefty chorus and orchestra, are nixed by a punishing sound balance which obscures much of Tim Rice’s lyrical content. The saving grace comes with a suite of strong performances who nail the high points of that score. Michael Ball soars effortlessly through ‘Anthem’ as the stern Russian Anatoly, a direct contrast to the wilder American Freddie, a raucous Tim Howar who brings down the house with ‘Pity The Child’. The marvellous Cassidy Janson dispatches Florence, sometime lover to both, with her customary élan, especially on a glorious ‘Nobody’s Side’. And Alexandra Burke does well with the underwritten part of Svetlana, successfully transitioning (for the most part) from her pop inclinations to a legit straight MT interpretation of the material. Strong work too comes from Phillip Browne and Cedric Neal. "
7,7,Ought To Be Clowns,27/07/2011,Ian,Double Feature 2, National Theatre,"Switching it up a little for the summer is the National Theatre with their Double Feature run: 2 double bills of new writing performed by one ensemble and playing in a new space, the Paintframe. It wasn’t always meant to be thus, the original plan was to put this into the Cottesloe but the huge success of London Road and its subsequent extension meant alternative arrangements had to be found and so the area where sets are painted was co-opted, a rather neat decision as it plays into the experimental feel of the whole experience. Divided into 2 double bills, I saw Double Feature 2 first, at the first preview, which pairs Prasanna Puwanarajah’s Nightwatchman and Tom Basden’s There Is A War. I ummed and aahed a bit about how to write up these shows and so what will follow is a general overview of the plays and the experience as a whole, and there will be two separate reviews of the actual shows which will be a bit more detailed and so potentially spoilerific. Nightwatchman is the debut play by Prasanna Puwanarajah, an actor with numerous credits at the National including currently appearing in Emperor and Galilean. It is a monologue delivered by a British/Sri Lankan female cricketer on the night before making her debut at Lords playing for England, against Sri Lanka to boot. Unable to settle, Abirami works out her frustrations in a practise area with a machine spitting cricket balls at her as she battles with her own issues of national identity given her multicultural background, delves into some murky family history and their involvement in the Sri Lankan conflict and also talks a lot about cricket. It is impressively performed by Stephanie Street but Puwanarajah’s writing doesn’t quite hit the spot. For such a short piece, his canvas is far too broad, touching on many topics but not tackling any sufficiently and requiring too much advance knowledge in order to be truly effective: Nightwatchman is simply not able to be illuminating enough of its own accord. There is a War is Tom Basden’s written contribution to Double Feature, he acts in both this and another play too, and this plays as the second half of the evening. A story about a slightly surreal war going on in a slightly surreal land, Basden uses his customary sharp humour to dissect much of the ridiculousness that surrounds a society at war. Following young doctor Anne’s attempts to find a hospital and assist the war effort, we see her desperate journey as things turn increasingly darker as the play progresses. Featuring pretty much the full ensemble here in a range of random characters that Phoebe Fox’s Anne encounters on her way, there’s much more energy to this piece, also played in traverse. It also starts off with some brilliantly comic scenes which were genuinely hilarious – I kind of love Kirsty Bushell now – but much like Anne’s journey which wanders aimlessly around, Basden’s writing loses focus quite badly, yet still continues and so a more serious tone takes over but with little sense of what is actually being said. An ending is finally meandered to but not after some time and so despite the promising beginning, the patience was definitely tested here. As a converted space and one which is intentionally so very flexible, the temporary seating is a set of cushioned benches (you can ring up to book the back row so you have something to lean against if you have worries about this) and both of these shows were played in traverse. It wasn’t the most uncomfortable of evenings truth be told but I suppose it depends on how involved you get: Nightwatchman became more of a trial because I wasn’t enjoying the show… But the most perplexing thing about the whole shebang is the decision to start the shows off at 8.15pm. With a scheduled running time of 2 hours 30 minutes, this means that it doesn’t finish until 10.45pm at the earliest which is frankly ridiculous given that these are not long shows."
8,8,Ought To Be Clowns,07/12/2009,Ian,Entertaining Mr Sloane, Trafalgar Studios,"After a discussion over the weekend about people who have not yet been made Dames and damn well ought to be, Imelda Staunton’s name came up amongst others (Fiona Shaw and Juliet Stevenson being my other choices), but when I had a check on this blog for the delightful Ms Staunton, I saw no mention of her despite being sure I had seen her earlier this year. Eventually I remembered it was Entertaining Mr Sloane at the Trafalgar Studios, way back in February, but somehow I’d neglected to write up the review. As I want this blog to be a full record of my theatregoing, I’m just going to make a few comments about what I remember of it with the help of some notes I made back then. The play, written by Joe Orton in 1964, is one of the darkest comedies I think I have ever seen. In brief, a landlady and her brother are both overwhelmed with sexual desire when a charismatic young lodger moves into her house. Caught in a deadly game of cat-and-mouse as his psychopathic tendencies come to the fore, as the balance of power continually shifts around them in this battle for power and possession. As the duelling sister and brother, Imelda Staunton and Simon Paisley Day had a crackling chemistry as their cosy existence is shattered by the sexual tension brought in by the arrival of the eponymous Mr Sloane played by Mathew Horne. In a well-designed letterbox set peeling away at the edges, Staunton was brilliant in a caustically funny, highly revealing(!) performance which veered grotesquely from demanding that Sloane call her Mamma whilst seducing him to the endearing lonely side of her that is frequently exposed. That said, Paisley-Day’s homosexually repressed Ed was a absolute sheer joy to watch. His struggle to conceal his instant reactions to the leather clad intruder with a bristling insouciance was hysterical. Mathew Horne suffered a little bit by comparison to these two performances, especially with a shaky Midlands accent (at least early on in the run), but he did well at conveying the casual ruthlessness of Sloane as he turns this world upside down."
9,9,Ought To Be Clowns,30/05/2015,mag9l,The Theory of Relativity, Drayton Arms,"Given that in ‘Quiet’, Matilda is giving West End audiences lessons on the speed of light, it is brave of another show to enter into the same arena but given the college student age of the protagonists here, one can forgive writer Brian Hill and composer Neil Bartram. Their show The Theory of Relativity, previously seen in Toronto, lies somewhere between chamber musical, song cycle and even revue as eight characters explore the random connections in life (a popular theme this week after buckets) and discover the web of links that result from our actions, even if we’re unaware of how far-reaching they truly are. The US college bias of the writing skews the experience a little but most of the trials and tribulations experienced here are universally felt – the fluttering nerves of first loves and coming out, dealing with upheaval and change, the pain of loss of love or life. And a large part of the relatability comes from the warmth and openness of the performances here – Jodie Steele’s affecting heartbreak in ‘Me and Ricky’, Ina Marie Smith’s plaintive lament for her mother in ‘Promise Me’, Joshua LeClair’s powerfully felt ‘Footprint’, all supported by some fine work from MD Barney Ashworth from the keyboard. Christopher Lane’s production keeps a vigour to proceedings, ensuring the key note of each segment powers through, perhaps a little unsubtly in the case of the OCD sufferer but more amusingly with the numbers nerd (the excellent Simon Bailey) and downright hilariously with life choices of ‘Apples and Oranges’ which is pretty much worth the admission fee thanks to LeClair and Curtis Brown. Bartram’s music has the occasional tendency to noodle about when a concise approach would seem more apt and though the way in which physics is used to underscore each scene, it doesn’t always feel like the most natural fit."
